,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
64,2014-08-13,0.3815625,8,0.51735,6.0,0.3372333333333333,6.0,0.5594,2.0,52.4,53.13,51.92,52.06,52.06,51.62,52.06,50.92,51.99,51.99
65,2014-08-14,0.603275,4,0.3815625,8.0,0.51735,6.0,0.3372333333333333,6.0,52.5,52.6,51.3,52.28,52.28,52.4,53.13,51.92,52.06,52.06
66,2014-08-15,0.04468000000000001,10,0.603275,4.0,0.3815625,8.0,0.51735,6.0,52.3,52.42,51.7,52.4,52.4,52.5,52.6,51.3,52.28,52.28
67,2014-08-16,0.0,1,0.04468000000000001,10.0,0.603275,4.0,0.3815625,8.0,,,,,,,,,,
68,2014-08-18,0.345175,8,0.0,1.0,0.04468000000000001,10.0,0.603275,4.0,52.65,53.45,51.95,51.99,51.99,52.3,52.42,51.7,52.4,52.4
69,2014-08-19,0.1677714285714286,14,0.345175,8.0,0.0,1.0,0.04468000000000001,10.0,51.77,51.87,50.32,51.35,51.35,52.65,53.45,51.95,51.99,51.99
70,2014-08-20,0.16309166666666666,12,0.1677714285714286,14.0,0.345175,8.0,0.0,1.0,50.93,51.75,50.6,51.14,51.14,51.77,51.87,50.32,51.35,51.35
71,2014-08-21,0.22782307692307696,13,0.16309166666666666,12.0,0.1677714285714286,14.0,0.345175,8.0,51.3,51.76,50.65,50.87,50.87,50.93,51.75,50.6,51.14,51.14
72,2014-08-22,0.2713,8,0.22782307692307696,13.0,0.16309166666666666,12.0,0.1677714285714286,14.0,50.91,51.39,50.52,51.36,51.36,51.3,51.76,50.65,50.87,50.87
73,2014-08-23,0.0,1,0.2713,8.0,0.22782307692307696,13.0,0.16309166666666666,12.0,,,,,,,,,,
74,2014-08-25,0.06945882352941178,17,0.0,1.0,0.2713,8.0,0.22782307692307696,13.0,51.64,52.74,51.64,52.51,52.51,50.91,51.39,50.52,51.36,51.36
75,2014-08-26,0.0,1,0.06945882352941178,17.0,0.0,1.0,0.2713,8.0,53.0,53.1,52.33,52.35,52.35,51.64,52.74,51.64,52.51,52.51
76,2014-08-27,0.40284000000000003,5,0.0,1.0,0.06945882352941178,17.0,0.0,1.0,52.7,52.85,52.06,52.65,52.65,53.0,53.1,52.33,52.35,52.35
77,2014-08-28,0.0,1,0.40284000000000003,5.0,0.0,1.0,0.06945882352941178,17.0,52.38,52.9,52.33,52.77,52.77,52.7,52.85,52.06,52.65,52.65
78,2014-08-29,0.20051111111111114,9,0.0,1.0,0.40284000000000003,5.0,0.0,1.0,53.74,54.4,53.5,53.94,53.94,52.38,52.9,52.33,52.77,52.77
79,2014-09-01,0.4939,1,0.20051111111111114,9.0,0.0,1.0,0.40284000000000003,5.0,,,,,,,,,,
80,2014-09-02,0.28595,2,0.4939,1.0,0.20051111111111114,9.0,0.0,1.0,55.1,56.98,54.86,56.82,56.82,53.74,54.4,53.5,53.94,53.94
81,2014-09-04,-0.0037200000000000006,5,0.28595,2.0,0.4939,1.0,0.20051111111111114,9.0,56.8,58.28,56.08,57.21,57.21,57.53,57.6,56.02,56.24,56.24
82,2014-09-08,0.18036666666666668,3,-0.0037200000000000006,5.0,0.28595,2.0,0.4939,1.0,55.52,56.98,55.5,56.42,56.42,56.51,56.58,54.5,55.48,55.48
83,2014-09-09,0.4019,1,0.18036666666666668,3.0,-0.0037200000000000006,5.0,0.28595,2.0,56.6,57.1,55.4,55.7,55.7,55.52,56.98,55.5,56.42,56.42
84,2014-09-10,0.128,1,0.4019,1.0,0.18036666666666668,3.0,-0.0037200000000000006,5.0,55.9,56.28,54.73,56.22,56.22,56.6,57.1,55.4,55.7,55.7
85,2014-09-11,0.0,1,0.128,1.0,0.4019,1.0,0.18036666666666668,3.0,56.09,56.96,55.73,56.06,56.06,55.9,56.28,54.73,56.22,56.22
86,2014-09-12,0.0,1,0.0,1.0,0.128,1.0,0.4019,1.0,56.1,56.48,55.4,55.84,55.84,56.09,56.96,55.73,56.06,56.06
87,2014-09-16,0.3901833333333334,6,0.0,1.0,0.0,1.0,0.128,1.0,51.03,52.49,50.48,52.15,52.15,54.87,54.88,49.83,50.77,50.77
88,2014-09-18,0.4975,3,0.3901833333333334,6.0,0.0,1.0,0.0,1.0,52.67,53.12,52.46,52.76,52.76,52.48,52.94,51.9,52.28,52.28
89,2014-09-19,0.3598571428571429,7,0.4975,3.0,0.3901833333333334,6.0,0.0,1.0,51.6,52.29,51.05,51.86,51.86,52.67,53.12,52.46,52.76,52.76
90,2014-09-20,0.4404,1,0.3598571428571429,7.0,0.4975,3.0,0.3901833333333334,6.0,,,,,,,,,,
