created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
2020-03-14,0.12968461538461537,13,0.1027,1.0,0.1153190476190476,21.0,0.20559999999999998,18.0,,,,,,,,,,
2020-03-15,0.07105,2,0.12968461538461537,13.0,0.1027,1.0,0.1153190476190476,21.0,,,,,,,,,,
2020-03-16,0.10527272727272727,11,0.07105,2.0,0.12968461538461537,13.0,0.1027,1.0,93.9,98.97,88.43,89.01,89.01,119.0,121.51,100.4,109.32,109.32
2020-03-17,0.2353,9,0.10527272727272727,11.0,0.07105,2.0,0.12968461538461537,13.0,88.0,94.37,79.2,86.04,86.04,93.9,98.97,88.43,89.01,89.01
2020-03-18,0.1370875,16,0.2353,9.0,0.10527272727272727,11.0,0.07105,2.0,77.8,80.97,70.1,72.24,72.24,88.0,94.37,79.2,86.04,86.04
2020-03-19,0.04482272727272727,22,0.1370875,16.0,0.2353,9.0,0.10527272727272727,11.0,74.94,90.4,71.69,85.53,85.53,77.8,80.97,70.1,72.24,72.24
2020-03-20,0.2576,6,0.04482272727272727,22.0,0.1370875,16.0,0.2353,9.0,87.64,95.4,85.16,85.51,85.51,74.94,90.4,71.69,85.53,85.53
2020-03-21,0.2524416666666667,12,0.2576,6.0,0.04482272727272727,22.0,0.1370875,16.0,,,,,,,,,,
2020-03-22,-0.25165,6,0.2524416666666667,12.0,0.2576,6.0,0.04482272727272727,22.0,,,,,,,,,,
2020-03-23,0.26427500000000004,16,-0.25165,6.0,0.2524416666666667,12.0,0.2576,6.0,86.72,88.4,82.1,86.86,86.86,87.64,95.4,85.16,85.51,85.51
2020-03-24,0.24736,15,0.26427500000000004,16.0,-0.25165,6.0,0.2524416666666667,12.0,95.46,102.74,94.8,101.0,101.0,86.72,88.4,82.1,86.86,86.86
2020-03-25,0.28659999999999997,5,0.24736,15.0,0.26427500000000004,16.0,-0.25165,6.0,109.05,111.4,102.22,107.85,107.85,95.46,102.74,94.8,101.0,101.0
2020-03-26,0.08792666666666667,15,0.28659999999999997,5.0,0.24736,15.0,0.26427500000000004,16.0,109.48,112.0,102.45,105.63,105.63,109.05,111.4,102.22,107.85,107.85
2020-03-27,0.2399,11,0.08792666666666667,15.0,0.28659999999999997,5.0,0.24736,15.0,101.0,105.16,98.81,102.87,102.87,109.48,112.0,102.45,105.63,105.63
2020-03-28,0.14086666666666667,3,0.2399,11.0,0.08792666666666667,15.0,0.28659999999999997,5.0,,,,,,,,,,
2020-03-30,0.1305111111111111,9,0.14086666666666667,3.0,0.2399,11.0,0.08792666666666667,15.0,102.05,103.33,98.25,100.43,100.43,101.0,105.16,98.81,102.87,102.87
2020-03-31,0.2064142857142857,7,0.1305111111111111,9.0,0.14086666666666667,3.0,0.2399,11.0,100.25,108.59,99.4,104.8,104.8,102.05,103.33,98.25,100.43,100.43
2020-04-01,0.37914,5,0.2064142857142857,7.0,0.1305111111111111,9.0,0.14086666666666667,3.0,100.8,102.79,95.02,96.31,96.31,100.25,108.59,99.4,104.8,104.8
2020-04-02,-0.027099999999999992,11,0.37914,5.0,0.2064142857142857,7.0,0.1305111111111111,9.0,96.21,98.85,89.28,90.89,90.89,100.8,102.79,95.02,96.31,96.31
