created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_1dlag_2dlag,volumne_1dlag_2dlag,sentiment_3dlag,volumne_3dlag,sentiment_1dlag_3dlag,volumne_1dlag_3dlag,sentiment_2dlag_3dlag,volumne_2dlag_3dlag,sentiment_1dlag_2dlag_3dlag,volumne_1dlag_2dlag_3dlag,open,high,low,close,adjclose
2014-08-18,0.345175,8,0.0,1.0,0.04468000000000001,10.0,0.603275,4.0,0.603275,4.0,0.38156249999999997,8.0,0.51735,6.0,0.33723333333333333,6.0,52.65,53.45,51.95,51.99,51.99
2014-08-19,0.1677714285714286,14,0.345175,8.0,0.0,1.0,0.04468000000000001,10.0,0.04468000000000001,10.0,0.603275,4.0,0.38156249999999997,8.0,0.51735,6.0,51.77,51.87,50.32,51.35,51.35
2014-08-20,0.16309166666666666,12,0.1677714285714286,14.0,0.345175,8.0,0.0,1.0,0.0,1.0,0.04468000000000001,10.0,0.603275,4.0,0.38156249999999997,8.0,50.93,51.75,50.6,51.14,51.14
2014-08-21,0.22782307692307696,13,0.16309166666666666,12.0,0.1677714285714286,14.0,0.345175,8.0,0.345175,8.0,0.0,1.0,0.04468000000000001,10.0,0.603275,4.0,51.3,51.76,50.65,50.87,50.87
2014-08-22,0.2713,8,0.22782307692307696,13.0,0.16309166666666666,12.0,0.1677714285714286,14.0,0.1677714285714286,14.0,0.345175,8.0,0.0,1.0,0.04468000000000001,10.0,50.91,51.39,50.52,51.36,51.36
2014-08-23,0.0,1,0.2713,8.0,0.22782307692307696,13.0,0.16309166666666666,12.0,0.16309166666666666,12.0,0.1677714285714286,14.0,0.345175,8.0,0.0,1.0,,,,,
2014-08-25,0.06945882352941177,17,0.0,1.0,0.2713,8.0,0.22782307692307696,13.0,0.22782307692307696,13.0,0.16309166666666666,12.0,0.1677714285714286,14.0,0.345175,8.0,51.64,52.74,51.64,52.51,52.51
2014-08-26,0.0,1,0.06945882352941177,17.0,0.0,1.0,0.2713,8.0,0.2713,8.0,0.22782307692307696,13.0,0.16309166666666666,12.0,0.1677714285714286,14.0,53.0,53.1,52.33,52.35,52.35
2014-08-27,0.40284,5,0.0,1.0,0.06945882352941177,17.0,0.0,1.0,0.0,1.0,0.2713,8.0,0.22782307692307696,13.0,0.16309166666666666,12.0,52.7,52.85,52.06,52.65,52.65
2014-08-28,0.0,1,0.40284,5.0,0.0,1.0,0.06945882352941177,17.0,0.06945882352941177,17.0,0.0,1.0,0.2713,8.0,0.22782307692307696,13.0,52.38,52.9,52.33,52.77,52.77
2014-08-29,0.20051111111111114,9,0.0,1.0,0.40284,5.0,0.0,1.0,0.0,1.0,0.06945882352941177,17.0,0.0,1.0,0.2713,8.0,53.74,54.4,53.5,53.94,53.94
2014-09-01,0.4939,1,0.20051111111111114,9.0,0.0,1.0,0.40284,5.0,0.40284,5.0,0.0,1.0,0.06945882352941177,17.0,0.0,1.0,,,,,
